35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182,3749.588138,824.8175182
3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788,3957.166392,883.2116788
4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708,4342.668863,1029.19708
5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803,5084.019769,1291.970803
5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066,5736.408567,1569.343066
6448.105437,1875.912409,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6270.181219,1759.124088,6181.21911,1671.532847
7397.034596,2299.270073,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,6744.645799,1978.10219,7367.38056,2094.890511,6626.029654,1846.715328,6626.029654,1788.321168
8019.769357,2605.839416,7337.726524,2284.671533,7337.726524,2284.671533,7337.726524,2284.671533,7337.726524,2284.671533,7337.726524,2284.671533,7337.726524,2284.671533,21690.28007,6051.094891,7397.034596,2167.883212,6833.607908,1963.50365,7278.418451,1992.70073,7189.456343,1905.109489
8820.428336,3014.59854,8138.385502,2664.233577,8138.385502,2664.233577,8138.385502,2664.233577,8168.039539,2664.233577,7634.266886,2416.058394,7752.883031,2445.255474,20859.96705,5934.306569,7841.84514,2299.270073,7960.461285,2255.474453,8049.423394,2153.284672,7901.153213,2021.89781
9443.163097,3306.569343,9028.00659,3043.79562,8968.698517,2970.80292,8761.120264,2868.613139,8612.850082,2824.817518,8019.769357,2518.248175,8168.039539,2518.248175,20059.30807,5802.919708,8345.963756,2416.058394,8642.504119,2372.262774,8790.7743,2255.474453,8790.7743,2153.284672
9739.70346,3437.956204,9443.163097,3218.978102,9443.163097,3160.583942,9205.930807,3014.59854,9028.00659,2912.408759,8405.271829,2635.036496,8612.850082,2635.036496,19228.99506,5656.934307,8790.7743,2503.649635,9443.163097,2518.248175,9739.70346,2386.861314,9680.395387,2270.072993
10273.47611,3671.532847,9828.665568,3379.562044,9947.281713,3335.766423,9650.741351,3175.182482,9502.47117,3043.79562,8850.082372,2766.423358,9116.968699,2751.824818,18398.68204,5525.547445,9502.47117,2635.036496,10243.82208,2649.635036,10658.97858,2503.649635,10481.05437,2372.262774
10836.9028,3905.109489,10332.78418,3569.343066,10658.97858,3583.941606,10095.55189,3321.167883,9947.281713,3175.182482,9324.546952,2883.211679,9561.779242,2868.613139,17568.36903,5364.963504,10214.16804,2766.423358,10925.86491,2781.021898,11963.75618,2839.416058,11281.71334,2547.445255
11548.59967,4197.080292,10777.59473,3729.927007,11252.05931,3788.321168,10599.67051,3467.153285,10451.40033,3306.569343,9947.281713,3043.79562,10125.20593,2985.40146,16738.05601,5204.379562,10955.51895,2927.007299,11726.52389,2970.80292,11341.02142,2649.635036,11963.75618,2766.423358
12171.33443,4474.452555,11341.02142,3934.306569,11696.86985,3919.708029,11192.75124,3656.934307,10955.51895,3452.554745,10629.32455,3204.379562,10658.97858,3116.788321,16026.35914,5043.79562,11726.52389,3116.788321,12349.25865,3175.182482,12438.22076,3116.788321,12616.14498,3175.182482
12645.79901,4708.029197,11963.75618,4182.481752,12112.02636,4094.890511,11934.10214,3905.109489,11429.98353,3583.941606,11133.44316,3306.569343,11192.75124,3233.576642,15136.73806,4795.620438,12556.8369,3408.759124,12794.06919,3437.956204,12853.37727,3379.562044,13238.87974,3481.751825
13090.60956,4897.810219,12853.37727,4562.043796,12675.45305,4313.868613,12527.18287,4124.087591,12052.71829,3788.321168,11785.83196,3481.751825,11726.52389,3379.562044,14454.69522,4562.043796,12971.99341,3656.934307,13179.57166,3700.729927,13535.4201,3715.328467,13950.57661,3686.131387
13476.11203,5102.189781,13357.49588,4824.817518,13476.11203,4664.233577,13416.80395,4503.649635,12586.49094,3992.70073,12319.60461,3671.532847,12171.33443,3510.948905,13861.6145,4284.671533,13446.45799,3934.306569,13742.99835,3978.10219,14602.9654,4021.89781,14869.85173,3875.912409
13831.96046,5277.372263,12467.87479,4386.861314,14069.19275,4956.20438,13001.64745,4313.868613,13060.95552,4197.080292,12794.06919,3890.510949,12645.79901,3700.729927,13476.11203,4065.693431,13980.23064,4211.678832,14365.73311,4211.678832,15700.16474,4240.875912,15759.47282,4007.29927
14276.771,5510.948905,14039.53871,5175.182482,14632.61944,5262.773723,13802.30643,4678.832117,13624.38221,4489.051095,13149.91763,4065.693431,13001.64745,3890.510949,13001.64745,3788.321168,14573.31137,4445.255474,15344.31631,4459.854015,16767.71005,4401.459854,16678.74794,4138.686131
14869.85173,5846.715328,14869.85173,5627.737226,15047.77595,5481.751825,14425.04119,5014.59854,14158.15486,4781.021898,13476.11203,4255.474453,13446.45799,4153.284672,12556.8369,3554.744526,15314.66227,4664.233577,16382.20758,4664.233577,17746.29325,4532.846715,17568.36903,4240.875912
15403.62438,6124.087591,15433.27842,5919.708029,15640.85667,5773.722628,15047.77595,5350.364964,14573.31137,4985.40146,13980.23064,4532.846715,13802.30643,4357.664234,12023.06425,3350.364964,16085.66722,4839.416058,17153.21252,4810.218978,18665.56837,4635.036496,18428.33608,4328.467153
15907.743,6401.459854,16085.66722,6240.875912,16115.32125,5992.70073,15611.20264,5627.737226,14899.50577,5145.985401,14395.38715,4751.824818,14276.771,4591.240876,11400.32949,3160.583942,16619.43987,4956.20438,17864.90939,4912.408759,19525.53542,4737.226277,19347.6112,4416.058394
16352.55354,6649.635036,16619.43987,6459.854015,16649.0939,6211.678832,16026.35914,5802.919708,15551.89456,5423.357664,14929.1598,4985.40146,14691.92751,4781.021898,10540.36244,2970.80292,17420.09885,5116.788321,18517.29819,5014.59854,20652.3888,4839.416058,20296.54036,4489.051095
16797.36409,6868.613139,17627.6771,6868.613139,17894.56343,6664.233577,16441.51565,5948.905109,16204.28336,5671.532847,15551.89456,5204.379562,15255.3542,5000,9799.011532,2824.817518,18220.75783,5248.175182,19436.57331,5131.386861,21542.00988,4927.007299,21215.81549,4562.043796
17212.52059,7043.79562,18191.10379,7072.992701,17212.52059,6430.656934,16975.2883,6138.686131,16856.67216,5890.510949,16263.59143,5423.357664,15818.78089,5160.583942,9057.660626,2664.233577,18932.4547,5350.364964,20415.15651,5262.773723,16261.24819,4269.689737,21897.85832,4620.437956
