322900 ft,,294800 ft,,259700 ft,,230400 ft,,200100 ft,,173500 ft,,154800 ft,,120300 ft,,100000 ft,,82200 ft,,59800 ft,,35900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
16029.748718616976,14.572615324472247,16083.794848405874,13.744038311180613,16058.596125445227,12.915168100078189,16033.017331248371,12.345289288506649,16033.663452349927,11.905003909304146,16034.195552080619,11.542415949960908,16060.990574233343,11.28352228303362,16061.750716705761,10.765539483971857,16009.30088610894,10.506352619233777,16035.9818868908,10.325156372165758,16062.890930414387,9.988565285379202,16063.271001650595,9.729573885848321
16636.456432977153,15.144644253322912,16505.863956215795,14.134089132134484,16454.364303709495,13.227423768569198,16402.446572843368,12.605648944487884,17062.896360003477,12.556293979671622,16799.58300755799,11.985535574667711,16404.156893406307,11.440187646598908,16484.047867257406,11.000195465207195,16590.087742159674,10.7415949960907,17012.80297107115,10.691360437842064,16749.29958300756,10.2500977326036,16696.9637737816,9.913213448006257
17111.20341412562,15.638487099296329,17534.602771262274,15.122068021892106,16929.263313352447,13.61767005473026,16877.38358960994,12.96999609069586,18329.59777604031,13.389757623143085,17538.517504995223,12.454456606724007,17697.42528885414,12.170152462861612,17223.096386065503,11.391419077404223,17144.421640170272,11.002638780297108,17857.58730779255,11.031176700547306,17699.705716271394,10.616204065676314,17515.409173833727,10.201133698201723
17559.649465728435,16.054534792806884,18563.417600555993,16.058248631743552,17430.577273911913,14.008014073494921,17484.35735383546,13.360731039874906,19490.753409781948,14.145132916340895,18145.56728346799,12.793393275996877,18964.278733385458,12.900019546520722,17962.144904873603,11.782642689601255,17909.923117018505,11.368060985144648,19124.782816436455,11.52795152462862,18465.32121449049,10.903928850664585,18386.76048996612,10.437451133698204
18139.9422291721,16.626465989053955,20515.691512466336,17.723025801407353,17931.929241594997,14.372458952306491,18091.217096690125,13.829163408913217,20652.02306489445,14.82281078967944,18910.878724698116,13.288311180609856,19808.87303448875,13.369331508991403,19070.774693771178,12.330629397967165,18939.460081661022,11.812157935887415,20180.734731995486,11.972146207974983,19151.72986708366,11.165461297888978,19284.412735644168,10.751563721657547
18693.896055946487,17.146501172791247,21914.2016332204,18.73827208756842,18380.489314568673,14.710809225957783,18830.11358700374,14.323983580922599,21628.57809920945,15.37030883502737,19649.88923638259,13.705433932759973,21049.3875423508,14.04730258014074,19757.069324993485,12.669859265050825,20180.20263226479,12.334734167318219,21025.5570758405,12.286063330727131,19811.76157588394,11.400996872556686,20129.349100860047,10.987783424550432
19327.0567283468,17.69272869429242,22996.188428459733,19.441555903049263,18829.01138041873,15.075058639562162,19569.01007731735,14.818803752931982,22657.963035357487,15.918002345582492,20415.31469898358,14.122654417513687,22131.6783945791,14.543393275996875,20469.854921379552,12.957388584831904,21262.531491616715,12.80492572322127,21976.00121622796,12.626270523846758,20551.03813743376,11.636825645035186,20947.870515159415,11.223905394839722
20355.909564764137,18.603010164190778,24263.00386586743,20.197322126661458,19251.194509599514,15.387412040656768,20228.813743375904,15.20973416731822,23687.46199287638,16.387998436278345,21207.19311962471,14.514073494917909,23214.007253931024,15.013584831899925,21420.185040396143,13.375293197810793,22477.011119798455,13.223807662236126,22900.06841282252,12.940480844409697,21501.48227782122,11.977032838154813,21898.390669794113,11.51231430805317
21147.331899921817,19.305218921032058,25635.669142559294,20.8239835809226,19884.54521761793,15.804143862392499,20914.95634610373,15.652560594214233,24611.41516810008,16.77990617670055,22104.617322561033,14.983580922595783,24375.580966032496,15.484069585613765,22291.38432803406,13.71520719311963,23401.040309269396,13.563917122752153,23929.75740595952,13.280981235340114,22267.173790287554,12.212959343236907,22716.98809834072,11.696637998436278
21754.153635652856,19.799550430023462,26744.75501694032,21.06118060985145,20306.766353922336,16.090598123534015,21548.38306836939,16.017494136043787,25429.822561028584,17.093725566849105,22922.872686995048,15.40099687255669,25801.30418729911,15.955531665363567,23057.037833376773,13.977032838154813,24404.31435148988,13.904319781078971,24801.108722091914,13.517298670836594,23085.69520458692,12.449081313526193,23535.471505516463,11.95865910867866
22387.39032230041,20.29397967161846,27035.281469898364,21.088154808444102,20781.741377812526,16.4290461297889,22128.979888802016,16.38223221266615,26142.760185909134,17.27765832681783,23714.86512900704,15.714718530101646,26804.806272261318,16.140539483971857,23769.86143688646,14.238663017982802,25486.90926070715,14.193217357310402,25566.83824168187,13.727326035965602,23851.386717053254,12.685007818608291,24274.824081313527,12.142689601250982
23020.665016071587,20.762509773260366,27405.128789853185,21.063623924941368,21309.508296412132,16.79358874120407,22867.990400486495,16.799354964816267,27014.187516288766,17.462177482408137,24454.027669185998,16.02824472243941,27623.51772217879,16.247165754495704,24641.250760142473,14.449081313526197,26384.71353487968,14.403733385457391,26279.851880809663,13.85946051602815,24590.663278603075,12.92083659108679,25067.04456606724,12.301016419077405
23680.354660759273,21.231137607505868,27775.052124055255,20.987294761532453,22101.234688558772,17.288604378420647,23633.491877334727,17.164777169663804,27568.825471288335,17.51602814698984,25298.926027278256,16.290363565285382,28151.778733385458,16.275019546520724,25644.562809486582,14.763584831899925,27467.498479715057,14.56313526192338,27019.28047085397,13.991692728694296,25620.580314481802,13.105942142298673,25832.85009990444,12.459245504300236
24366.573277734344,21.622165754495704,28171.5044305447,20.83336591086787,22919.338024498305,17.809616888193908,24214.202719138215,17.4518178264269,28044.37060203284,17.4659890539484,26143.86239249414,16.526583268178268,28600.870906089833,16.250781860828774,26463.12223090957,14.973807662236126,28391.90774042221,14.644253322908526,27785.162018938412,14.09812353401095,26360.008904526105,13.23817435496482,26704.3154374077,12.617865519937453
25000.03800712362,21.961200156372172,28568.108765528625,20.575840500390935,23499.972852054554,18.148455824863177,24662.99083485362,17.63477326035966,28546.330683693857,17.41604769351056,27120.949526539833,16.71149335418296,29129.245938667365,16.20093823299453,27387.379463122234,15.158522283033623,29342.845973416734,14.647771696638001,28683.232342976284,14.12734558248632,27125.890452610547,13.344605160281473,27866.383242116237,12.751661454261145
25554.40991225784,22.196344800625496,28859.16731821736,20.24022673964035,24318.228216488576,18.565871774824085,25164.53283815481,17.86972243940579,29233.34745026497,17.263193901485543,27622.75757970637,16.76514855355747,29604.86708365911,16.099100860046917,28258.958821996355,15.239444878811575,29976.842802536703,14.624218139171232,29660.585526887327,14.130961688819394,28103.091608027105,13.451817826426899,28711.547650073844,12.8324863174355
26240.932586221876,22.380179827990624,29123.8489271132,19.878616106333077,24925.392016332204,18.827111024237688,25692.641820867,18.001172791243164,29735.535574667716,17.05785770132917,28098.22669620363,16.766907740422205,30133.35613760751,15.971559812353403,28892.917643992703,15.241790461297892,30690.198505777087,14.523260359655984,30690.844626878643,14.082974980453482,28869.08717748241,13.48055121188429,,
26742.74063938841,22.433835027365134,29388.530536009035,19.517005473025808,25611.838676049,19.062744331508995,26220.712796455566,18.158522283033626,30211.384762401183,16.800625488663023,28547.318868908005,16.74267005473026,30556.185387889847,15.843627834245508,29711.857136651903,15.193021892103209,31271.517461558506,14.395914777169668,31351.408435409612,13.955922595777956,29476.669055685867,13.456899921813921,,
27191.832812092784,22.409597341673187,29626.64516549388,19.258893666927293,26351.15324472244,19.272673964034404,26669.65294066545,18.23788115715403,30740.13986621493,16.491790461297892,28970.03409781948,16.69243549648163,30926.22274346278,15.68960125097733,30557.363608722095,15.040754495699769,32090.60898271219,14.243549648162631,32381.89557814265,13.752541047693514,30163.495786638872,13.433541829554343,,
27509.002258709064,22.281274433150905,29970.533620015638,18.9234753713839,26720.886543306406,19.32584050039093,27118.63109199896,18.291340891321347,31189.57410303189,16.23446051602815,29392.825340978197,16.590402658326823,31322.675049952224,15.535672400312746,31402.90808791591,14.86258795934324,32645.5129875771,14.116106333072718,33016.120450004346,13.573592650508212,,,,
27905.49257232213,22.101446442533234,30287.817088002783,18.717455043002353,27143.487750847016,19.35330336200157,27488.364390582923,18.34450742767788,31718.177178351143,16.029222048475376,29815.654591260536,16.462470680218924,31692.712405525155,15.381645817044568,32248.490574233343,14.658522283033623,33411.85062114499,13.91174745895231,,,,,,
28143.531187559725,21.895132916340895,30710.722352532364,18.537724784988278,27539.712014594734,19.354769351055516,27831.75875249761,18.34577795152463,32299.458127008947,15.927775605942145,30238.521848666496,16.308639562157943,32141.994613847623,15.22791243158718,32988.45126400834,14.42816653635653,34151.73529667275,13.733189992181394,,,,,,
28408.060767961084,21.63711884284598,31080.64568673443,18.461395621579364,27962.389236382594,19.330433932759973,28228.05903049258,18.295445660672407,32907.19203370689,15.800527756059425,30608.59721136305,16.128713838936672,32617.69177308661,15.074276778733388,33781.20384849275,14.223905394839722,34970.788810702805,13.606724003127447,,,,,,
28778.668230388328,21.094605160281475,31424.07805577274,18.43676700547303,28305.859612544526,19.27990617670055,28597.944357571025,18.24501563721658,33620.47172270003,15.751368256450354,31057.955433932766,15.923182173573107,33119.803883242115,14.920738858483194,34705.87915906524,14.12372947615325,35287.84423594823,13.556098514464427,,,,,,
29149.199678568322,20.603889757623147,31873.132221353488,18.43842845973417,28728.726869950486,19.126075058639564,28888.660846147162,18.142494136043787,34307.29845365303,15.72801016419078,31507.313656502476,15.717650508209543,33701.08483189992,14.819292415949965,35524.89466597168,14.023162627052388,,,,,,,,
29466.749196420817,20.21657544956998,32374.97828164365,18.466184519155593,29072.425288854138,18.920152462861616,29205.868299887064,17.98827208756842,34809.18252106681,15.729867083659114,32088.708626531145,15.538506645817048,34282.28976631049,14.769644253322912,36423.07901138042,13.974687255668496,,,,,,,,
29863.46755277561,19.88135261923378,32876.78633481018,18.519839718530108,29336.878855008254,18.713936669272876,29470.32186604118,17.78205629397968,35522.42420293632,15.70660672400313,32617.15967335592,15.436864738076626,34969.078490139866,14.772185301016423,37294.810398749025,13.952013291634092,,,,,,,,
30207.203978802885,19.64953088350274,33299.34953522718,18.573201720093827,29627.861393449748,18.430121188428465,29787.605334028318,17.576035965598127,36262.004821475115,15.735242376856924,33251.346538093996,15.283815480844414,35920.016723134395,14.7757036747459,38509.86013378508,13.982408131352623,,,,,,,,
30630.109243332467,19.46980062548867,33748.28967943706,18.652560594214236,29865.938015810963,18.197908522283036,29999.190991225783,17.39552384675528,36869.472678307706,15.789288506645821,33885.381374337594,15.234362783424553,36580.352488923636,14.8040461297889,,,,,,,,,,
31105.65437407697,19.41976153244723,34276.39866214925,18.78401094605161,30289.071323082273,17.862783424550436,30369.3803752932,17.13790070367475,37556.147380766226,15.869526974198596,34493.03926678829,15.15891321344801,37346.34805837894,14.83277951524629,,,,,,,,,,
31660.254321952918,19.49951133698202,34751.753757275656,18.86346755277561,30817.826426896012,17.553948397185305,30792.361654070024,16.9063721657545,38189.954174268096,15.975469116497267,35655.29710711494,15.163213448006257,38033.060767961084,14.887118842845977,,,,,,,,,,
32294.099122578402,19.579554339327604,35306.27769090435,18.995015637216582,31452.127313004952,17.323201720093827,31188.85196768309,16.72654417513683,38955.87372947615,16.05600078186083,36394.80171140648,15.243647380766225,38825.471288332905,14.91594996090696,,,,,,,,,,
32769.416210581185,19.684910086004695,35966.38541395187,19.17875293197811,32297.633785075144,17.17093432369039,31638.13417600556,16.572810789679444,39616.13348101816,16.13614151681001,37055.099470072106,15.297888975762318,39723.465598123534,14.99697028928851,,,,,,,,,,
33191.94140387455,19.764171227521505,36705.77599687256,19.336884284597346,33010.875466944664,17.147673964034404,32166.623229953962,16.445269741985932,40249.97828164365,16.216184519155593,37873.81091998958,15.404515246286163,40991.307227868994,15.05345973416732,,,,,,,,,,
33772.88028841978,19.895817044566073,37867.72978021023,19.548377638780302,33776.75701502911,17.25410476935106,32642.16836069846,16.39523064894449,41015.89783685171,16.29671618451916,38692.56037703067,15.485242376856922,41942.09343236904,15.16057466770915,,,,,,,,,,
34723.47645730171,20.132427677873345,38871.155850925206,19.785183737294766,34437.05477369473,17.308346364347152,33064.88358960994,16.344996090695858,41887.47719572583,16.37763878029711,39881.119146902965,15.567337763878033,,,,,,,,,,,,
35462.79102597515,20.342357310398754,39980.24172530623,20.02238076622362,35070.89957432022,17.388389366692735,33593.14460081661,16.372849882720878,42679.811701850405,16.458268178264273,40937.6411693163,15.623045347928072,,,,,,,,,,,,
36360.63330727131,20.526974198592654,41010.12075406133,20.23338545738859,35651.87646598906,17.49413604378421,34227.06541568934,16.401094605160285,43630.67392059769,16.513584831899927,41941.295282773004,15.704456606724007,,,,,,,,,,,,
37469.60516028147,20.84186864738077,42039.96177569282,20.47028928850665,36470.51190165929,17.652560594214236,34834.53327252194,16.455140734949183,44396.63148292937,16.568217357310402,43341.05963860655,15.865031274433154,,,,,,,,,,,,
38552.200069498744,21.130766223612202,43043.46386065502,20.655297107114936,37289.18534445313,17.78508600469117,35468.45408739467,16.483385457388586,45453.15350534272,16.623924941360443,44212.677004604295,15.920054730258016,,,,,,,,,,,,
