0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,Z,T,Z,T,Z,T,Z,T,Z,T,Z ,T,Z
498.7685782,1.000521251,522.823362,1.000546073,510.7959701,1.000533662,510.7959701,1.000533662,498.7685782,1.000521251,498.7685782,1.000521251,510.7959701,1.000533662
558.9055377,1.000583305,1821.820298,0.997071064,1821.820298,0.997071064,1845.875082,0.997095885,1881.957257,0.997133118,1845.875082,0.997095885,1942.094217,0.997195171
703.2728516,0.995916865,2002.192565,1.002072595,2158.587271,0.997418565,2158.587271,0.997418565,2194.669447,0.997455797,2375.080325,0.997641958,3421.46342,0.998721693
835.5741625,0.996053383,2206.503783,1.021545055,2350.909708,1.012063245,2411.12389,1.00249456,2531.43642,0.997803298,2603.600771,0.997877762,3661.972647,1.003785278
991.9302571,0.996214722,2374.616991,1.055426392,2531.166141,1.031510884,2615.512329,1.012336282,2783.973038,1.002879293,2832.082606,1.002928936,3818.251519,1.013577356
1160.313744,0.996388473,2554.757591,1.089320139,2663.235785,1.060539619,2795.768763,1.031783921,2988.322867,1.017536384,3289.046276,1.013031283,3998.585175,1.023394256
1833.84769,0.997083475,2722.793576,1.132832215,2795.228206,1.099199093,2976.025197,1.05123156,3144.563128,1.032143832,3493.396104,1.027688374,4142.836655,1.033173924
1942.016994,1.00682591,2842.835828,1.161848539,2927.29785,1.128227828,3096.144671,1.070617145,3312.79217,1.051579061,3697.745933,1.042345466,4299.076916,1.047781372
2050.186299,1.016568346,2974.982694,1.181246535,3059.406104,1.152441194,3240.280317,1.094842921,3456.927816,1.075804837,3853.986194,1.056952914,4527.481529,1.062463285
2110.207425,1.031076508,3191.359914,1.195916037,3203.580362,1.171851601,3384.415964,1.119068698,3589.036071,1.100018202,4010.149232,1.081191101,4683.72179,1.077070733
2194.244723,1.050424861,3371.770793,1.196102198,3323.81567,1.176791078,3504.496827,1.143269652,3757.226502,1.1242688,4190.405666,1.10063874,4815.907267,1.09165336
2254.188627,1.074563762,3600.252628,1.201153372,3468.105762,1.181755376,3636.605082,1.167483018,3889.373368,1.143666796,4394.678272,1.12492657,5008.229704,1.10629804
2314.093919,1.103518033,3792.613676,1.210982683,3600.368461,1.186707264,3768.790559,1.182065645,4069.59119,1.167929805,4562.945925,1.139546429,5176.497357,1.120917899
2385.987992,1.137300084,3960.91994,1.220787172,3780.740728,1.191708794,3949.085604,1.196697914,4261.913627,1.182574485,4743.24097,1.154178698,5404.901969,1.135599811
2494.080074,1.156673258,4141.176373,1.240234811,3913.003428,1.196660682,4225.677006,1.201798731,4430.219891,1.192378975,4923.536015,1.168810968,5573.169622,1.15021967
2578.155984,1.171206242,4297.339412,1.264472998,4045.227517,1.206427939,4490.241017,1.206887137,4586.537374,1.197355684,5091.842279,1.178615457,5801.574234,1.164901583
2662.231893,1.185739225,4417.381664,1.293489323,4177.490216,1.211379827,4742.739024,1.216778501,4802.953206,1.207209816,5272.175935,1.188432357,6017.990066,1.174755715
2746.385025,1.19064147,4513.291909,1.332111564,4321.741697,1.221159495,5031.164762,1.245968576,4995.391476,1.207408388,5464.498371,1.203077038,6186.334941,1.179744835
2914.729901,1.19563059,4609.202155,1.370733806,4465.954566,1.235754532,5187.327801,1.270206763,5163.69774,1.217212877,5632.843247,1.208066158,6330.625033,1.184709133
3143.250347,1.195866394,4704.996566,1.423802156,4610.128824,1.255164939,5343.452228,1.29926032,5344.031396,1.227029778,5813.176903,1.217883058,6462.849121,1.194476391
3347.677398,1.200892746,4776.813417,1.467214946,4730.209686,1.279365894,5487.510653,1.333116835,5536.353833,1.241674458,5957.428383,1.227662726,6583.045818,1.204231237
3503.95627,1.210684825,4836.680098,1.500984586,4862.317941,1.303579259,5607.475682,1.371763898,5740.626439,1.265962288,6113.707255,1.237454804,6763.379474,1.214048137
3720.333491,1.225354327,4908.496948,1.544397376,4970.332801,1.332583173,5727.4021,1.415226331,5920.844262,1.290225296,6282.013519,1.247259294,6919.619735,1.228655585
3876.496529,1.249592514,4956.297626,1.582969974,5066.281658,1.366390045,5859.278687,1.468331913,6052.952516,1.314438662,6426.226389,1.261854331,7123.969563,1.243312676
3984.55,1.273781058,5016.125696,1.621554984,5174.180684,1.409840067,5991.193886,1.516622126,6185.02216,1.343467397,6558.411866,1.276436958,7304.264608,1.257944946
4080.498857,1.30758793,5087.903935,1.669783143,5258.024926,1.453265267,6158.998205,1.589026418,6341.069365,1.382151692,6678.569951,1.291007173,7484.521042,1.277392585
4152.39293,1.341369981,5159.643563,1.722826672,5341.869169,1.496690468,6326.841134,1.656615341,6497.077959,1.425651357,6774.673253,1.305552568,7652.788695,1.292012444
