0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,E,T,E,T,E,T,E,T,E,T,E,T,E
503.2165833,2.47113164,503.2165833,2.424942263,503.2165833,2.424942263,503.2165833,2.47113164,503.2165833,2.47113164,526.0900643,2.517321016,503.2165833,2.47113164
800.571837,2.563510393,846.3187991,2.609699769,731.9513939,2.563510393,731.9513939,2.563510393,777.698356,2.563510393,709.0779128,2.563510393,869.1922802,2.609699769
1166.547534,2.702078522,1395.282345,2.794457275,1029.306648,2.655889145,1029.306648,2.655889145,1075.05361,2.655889145,1075.05361,2.655889145,1212.294496,2.748267898
1578.270193,2.886836028,1784.131523,2.933025404,1280.914939,2.748267898,1258.041458,2.748267898,1418.155826,2.794457275,1509.64975,2.840646651,1509.64975,2.840646651
1784.131523,3.071593533,2035.739814,3.163972286,1532.523231,2.840646651,1738.38456,2.886836028,1738.38456,2.886836028,1944.24589,2.933025404,1852.751966,2.886836028
1944.24589,3.348729792,2218.727663,3.533487298,1761.258041,2.886836028,2310.221587,3.071593533,2081.486776,3.025404157,2241.601144,2.979214781,2218.727663,2.979214781
2035.739814,3.579676674,2333.095068,3.995381062,1989.992852,2.979214781,2516.082916,3.256351039,2493.209435,3.11778291,2561.829878,3.071593533,2470.335954,3.025404157
2127.233738,3.903002309,2447.462473,4.457274827,2150.107219,3.11778291,2676.197284,3.579676674,2744.817727,3.256351039,2904.932094,3.210161663,2836.311651,3.071593533
2195.854182,4.272517321,2516.082916,5.057736721,2287.348106,3.302540416,2813.43817,3.856812933,2973.552538,3.533487298,3179.413867,3.394919169,3110.793424,3.163972286
2264.474625,4.780600462,2538.956397,5.565819861,2424.588992,3.579676674,2950.679056,4.226327945,3133.666905,3.810623557,3385.275197,3.579676674,3385.275197,3.256351039
2287.348106,5.288683603,2607.576841,5.935334873,2561.829878,3.949191686,3087.919943,4.642032333,3293.781272,4.133949192,3591.136526,3.810623557,3636.883488,3.348729792
2310.221587,5.750577367,2653.323803,6.304849885,2653.323803,4.364896074,3248.03431,5.057736721,3453.89564,4.457274827,3774.124375,4.133949192,3865.618299,3.533487298
2333.095068,6.166281755,2721.944246,6.62817552,2744.817727,4.780600462,3408.148678,5.427251732,3636.883488,4.826789838,3979.985704,4.457274827,4094.353109,3.76443418
2401.715511,6.48960739,2836.311651,6.812933025,2859.185132,5.288683603,3545.389564,5.750577367,3819.871337,5.242494226,4208.720515,4.780600462,4345.961401,3.995381062
2447.462473,6.766743649,2973.552538,6.859122402,2973.552538,5.750577367,3659.756969,5.935334873,3957.112223,5.473441109,4483.202287,5.057736721,4551.822731,4.226327945
2516.082916,6.997690531,3087.919943,6.766743649,3065.046462,6.073903002,3774.124375,6.073903002,4094.353109,5.658198614,4780.557541,5.334872979,4826.304503,4.457274827
2607.576841,7.136258661,3202.287348,6.674364896,3156.540386,6.258660508,3934.238742,6.120092379,4231.593996,5.796766744,5123.659757,5.519630485,5077.912795,4.642032333
2721.944246,7.136258661,3339.528234,6.62817552,3270.907791,6.304849885,4117.22659,6.166281755,4437.455325,5.84295612,5466.761973,5.612009238,5421.015011,4.826789838
2859.185132,7.090069284,3453.89564,6.581986143,3453.89564,6.351039261,4460.328806,6.166281755,4643.316655,5.889145497,5855.611151,5.889145497,5786.990708,5.011547344
