35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3563.380282,4.20464135,3563.380282,4.20464135,3563.380282,4.20464135,3563.380282,4.20464135,3563.380282,4.20464135,3591.549296,4.369198312,3591.549296,4.369198312,3647.887324,4.478902954,3647.887324,4.478902954,3873.239437,5,3873.239437,5,7676.056338,8.126582278
3845.070423,4.424050633,3845.070423,4.424050633,3845.070423,4.424050633,3845.070423,4.424050633,3845.070423,4.424050633,3873.239437,4.588607595,3873.239437,4.588607595,4098.591549,4.945147679,4098.591549,4.945147679,4718.309859,5.521097046,4718.309859,5.521097046,8014.084507,8.647679325
4183.098592,4.698312236,4183.098592,4.698312236,4183.098592,4.698312236,4183.098592,4.698312236,4183.098592,4.698312236,4436.619718,5,4436.619718,5,4605.633803,5.246835443,4605.633803,5.246835443,5563.380282,5.905063291,5563.380282,5.905063291,8464.788732,9.305907173
4718.309859,5.054852321,4718.309859,5.054852321,4718.309859,5.054852321,4718.309859,5.054852321,4718.309859,5.054852321,5056.338028,5.383966245,5056.338028,5.383966245,5169.014085,5.603375527,5169.014085,5.603375527,6352.112676,6.316455696,6352.112676,6.316455696,9000,10.12869198
5169.014085,5.329113924,5169.014085,5.329113924,5169.014085,5.329113924,5169.014085,5.329113924,5169.014085,5.329113924,5845.070423,5.82278481,5845.070423,5.82278481,5873.239437,5.932489451,5873.239437,5.932489451,6943.661972,6.700421941,7000,6.947257384,9478.873239,10.84177215
5563.380282,5.575949367,5563.380282,5.575949367,5563.380282,5.575949367,5563.380282,5.575949367,5563.380282,5.575949367,6521.126761,6.151898734,6521.126761,6.151898734,6774.647887,6.426160338,6774.647887,6.426160338,7478.873239,7.221518987,7535.211268,7.605485232,10042.25352,11.66455696
6042.253521,5.82278481,6042.253521,5.82278481,6042.253521,5.82278481,6042.253521,5.82278481,6042.253521,5.82278481,7535.211268,6.64556962,7535.211268,6.64556962,7422.535211,6.782700422,7394.366197,6.892405063,7957.746479,7.797468354,8098.591549,8.400843882,10718.30986,12.45991561
6436.619718,6.042194093,6436.619718,6.042194093,6436.619718,6.042194093,6436.619718,6.042194093,6436.619718,6.042194093,8183.098592,7.276371308,8183.098592,7.276371308,8014.084507,7.331223629,7901.408451,7.41350211,8633.802817,8.620253165,8577.464789,9.08649789,11450.70423,12.92616034
6943.661972,6.316455696,6943.661972,6.316455696,6943.661972,6.316455696,6943.661972,6.316455696,6943.661972,6.316455696,8690.140845,7.687763713,8774.647887,7.907172996,8549.295775,7.907172996,8380.28169,8.016877637,9253.521127,9.360759494,9000,9.689873418,12408.4507,12.65189873
7563.380282,6.64556962,7563.380282,6.64556962,7563.380282,6.64556962,7563.380282,6.64556962,7563.380282,6.64556962,9281.690141,8.26371308,9225.352113,8.400843882,9140.84507,8.537974684,8802.816901,8.510548523,9816.901408,10.0464135,9619.71831,10.51265823,13225.35211,12.24050633
