322900 ft,,294800 ft,,259700 ft,,230400 ft,,200100 ft,,173500 ft,,154800 ft,,120300 ft,,100000 ft,,82200 ft,,59800 ft,,35900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
7677.71351,8.060606061,6448.55518,6.346320346,3801.032871,4.926406926,3693.566315,4.58008658,3639.986634,4.458874459,3675.365096,4.424242424,3639.679441,4.354978355,3639.679441,4.354978355,3621.887812,4.337662338,3604.096184,4.32034632,3550.414105,4.164502165,3550.465304,4.181818182
7838.09416,8.303030303,6679.79515,6.554112554,4227.571163,5.186147186,3871.431401,4.735930736,3764.425636,4.545454545,3924.345496,4.632034632,3835.336155,4.528138528,3870.919412,4.562770563,3835.336155,4.528138528,3853.076584,4.528138528,3763.862447,4.354978355,3781.602877,4.354978355
7962.789156,8.476190476,6928.929147,6.813852814,4636.266628,5.411255411,4102.568974,4.909090909,3995.51201,4.701298701,4191.015127,4.822510823,4031.044067,4.718614719,4208.704357,4.805194805,4155.329472,4.753246753,4368.726615,4.926406926,4066.064136,4.562770563,4012.842848,4.562770563
8141.012634,8.753246753,7213.748799,7.142857143,5044.910894,5.619047619,4440.251521,5.116883117,4279.92207,4.891774892,4528.646475,5.012987013,4315.402929,4.891774892,4582.021361,5.064935065,4564.280931,5.064935065,4848.639793,5.238095238,4403.95148,4.83982684,4261.72085,4.735930736
8337.130138,9.082251082,7463.087592,7.471861472,5489.087217,5.844155844,4795.674499,5.324675325,4599.76179,5.064935065,4848.639793,5.238095238,4617.553419,5.082251082,4973.027595,5.307359307,4937.444338,5.272727273,5186.373539,5.463203463,4741.634027,5.047619048,4617.195026,4.961038961
8675.631869,9.567099567,7712.375186,7.783549784,6039.808516,6.103896104,5009.122841,5.515151515,4937.495537,5.29004329,5150.790282,5.428571429,4901.91228,5.255411255,5310.710143,5.515151515,5239.646027,5.480519481,5666.030722,5.688311688,5168.172319,5.307359307,5008.20126,5.203463203
8925.07306,9.930735931,7890.547465,8.043290043,6466.346808,6.363636364,5346.702991,5.688311688,5239.543629,5.445887446,5506.110862,5.601731602,5150.790282,5.428571429,5648.341491,5.705627706,5524.004888,5.653679654,6057.036956,5.930735931,5470.322809,5.497835498,5363.675437,5.428571429
9121.088166,10.22510823,8104.303001,8.337662338,6857.250644,6.571428571,5666.491512,5.844155844,5488.421631,5.619047619,5897.065897,5.826839827,5417.357515,5.584415584,5932.597955,5.844155844,6039.194129,5.896103896,6430.046766,6.086580087,5807.954158,5.688311688,5736.890042,5.653679654
9334.9461,10.55411255,8335.850165,8.649350649,7088.541814,6.796536797,6004.020463,6,5808.261352,5.792207792,6234.646047,6,5683.82235,5.705627706,6305.710163,6.034632035,6447.838395,6.103896104,6856.431461,6.294372294,6216.598424,5.896103896,6145.483109,5.844155844
9566.69806,10.93506494,8585.393753,9.047619048,7355.46744,7.073593074,6323.757786,6.138528139,6021.504898,5.913419913,6572.174998,6.155844156,5950.440782,5.878787879,6607.707056,6.173160173,6856.48266,6.311688312,7318.348215,6.519480519,6571.970202,6.086580087,6518.697715,6.069264069
9816.13925,11.2987013,8852.677771,9.445887446,7675.76795,7.402597403,6661.286737,6.294372294,6323.501791,6.051948052,6892.065917,6.346320346,6234.646047,6,6980.870463,6.380952381,7265.126926,6.519480519,7602.758275,6.70995671,6962.874039,6.294372294,6856.277865,6.242424242
10012.05196,11.55844156,9137.65102,9.826839827,7942.795974,7.714285714,7034.552542,6.536796537,6625.447485,6.173160173,7194.011611,6.467532468,6518.953709,6.155844156,7371.774299,6.588744589,7656.081961,6.744588745,8046.985798,6.952380952,7353.777875,6.502164502,7229.338874,6.415584416
10261.33955,11.87012987,9475.999154,10.25974026,8209.875196,8.043290043,7372.388686,6.796536797,6891.963519,6.311688312,7638.341532,6.744588745,6927.597975,6.363636364,7744.988905,6.813852814,8046.8834,6.917748918,8473.421692,7.177489177,7780.316167,6.761904762,7549.280992,6.623376623
10492.83552,12.16450216,9778.866429,10.69264069,8512.486476,8.38961039,7603.731055,7.038961039,7105.360663,6.484848485,7887.42433,6.987012987,7389.46353,6.571428571,8029.194169,6.935064935,8455.630063,7.16017316,8864.376727,7.402597403,8260.075747,7.021645022,7940.236027,6.848484848
10741.91832,12.40692641,10063.78848,11.05627706,8833.042982,8.805194805,7888.448309,7.333333333,7283.225748,6.640692641,8243.103302,7.281385281,7691.665218,6.779220779,8366.927916,7.16017316,8704.661663,7.385281385,9219.953301,7.662337662,8793.005418,7.264069264,8295.607805,7.038961039
10990.94992,12.63203463,10259.64999,11.2987013,9153.497089,9.186147186,8119.893075,7.61038961,7549.946578,6.848484848,8545.663383,7.61038961,7958.590844,7.056277056,8580.478656,7.385281385,9060.238237,7.645021645,9557.738247,7.904761905,9183.909254,7.471861472,8686.358045,7.194805195
11115.38892,12.71861472,10437.77107,11.54112554,9385.044253,9.497835498,8369.231868,7.939393939,7816.769806,7.090909091,8830.380637,7.904761905,8385.38513,7.402597403,8847.250685,7.61038961,9486.981325,7.974025974,9859.888737,8.095238095,9486.213341,7.714285714,9006.146566,7.350649351
